Date;Time;PS_PCU MasterA [-];PS_PCU MasterB [-];PS_PCU MasterChangeAllowed [-];PS_PCU MasterChangeRequest BH [-];PS_PCU MasterChangeRequest IO [-];PS_PCU MasterChangeRequest A [-];PS_PCU MasterChangeRequest B [-];PS_PCU MasterChangeRequest to SD1 [-];PS_PCU MasterChangeRequest to SD2 [-];PS_PCU Tripped A [-];PS_PCU Tripped B [-];PS_PCU MasterChangeRequest HSI [-];PS_PCU FullMode to SD1 [-];PS_PCU FullMode to SD2 [-];PS_PCU FullMode from A [-];PS_PCU Autorestart from A [-];PS_PCU FullMode from B [-];PS_PCU Autorestart from B [-];PS_PCU FRCW B1 A [-];PS_PCU FRCW B3 A [-];PS_PCU FRCW B1 B [-];PS_PCU FRCW B3 B [-]
2025-05-09;19:27:00,072;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE
2025-05-09;19:27:00,171;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE
2025-05-09;19:27:00,274;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE
2025-05-09;19:27:00,374;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE
2025-05-09;19:27:00,475;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE
2025-05-09;19:27:00,576;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE
2025-05-09;19:27:00,676;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE
2025-05-09;19:27:00,776;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE
2025-05-09;19:27:00,878;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE
2025-05-09;19:27:00,978;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE
2025-05-09;19:27:01,079;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE
